用户ID,movie_id,评分
2301,6440,8
680,11407,8
2302,17634,8
2303,607,10
2305,4271,8
2306,1287,10
574,3324,8
2307,23031,8
2308,12307,10
740,21688,8
2310,21378,8
2311,12628,8
2312,14050,10
2314,21879,8
2315,18870,8
2316,529,8
597,3606,8
2317,3364,10
2318,20648,10
2319,5828,8
2320,988,8
2321,5468,10
39,21929,8
2324,7400,10
2325,11774,8
2326,20087,8
553,5228,8
237,17793,8
2328,22640,8
2329,2741,8
2330,21648,8
2331,21723,8
2332,20779,8
2333,22958,8
2334,6591,8
616,20604,8
2336,19206,8
2337,22402,8
2339,16135,8
2341,17512,10
725,19017,8
1552,12207,8
1634,12399,10
2342,8673,10
2343,14573,8
811,9640,8
2344,11026,8
2345,21573,8
782,9620,8
2346,6599,8
2347,21753,8
2348,11784,8
2350,12988,10
2353,9796,8
2355,20895,10
2356,15139,8
2357,1925,10
2359,15680,8
2360,21776,8
2361,5228,8
2365,4036,8
2368,14393,8
2369,18189,8
2371,15676,8
2373,22607,8
2379,15667,10
2380,14628,8
2381,15284,8
2382,16008,10
2384,1490,10
2385,5029,10
2386,22130,8
2387,18065,10
641,14056,10
1525,12896,8
2388,11036,8
2390,10455,8
627,2486,8
2391,17242,8
795,1678,8
2392,22413,8
2394,48,8
2395,12343,8
2397,7890,10
2398,340,8
2399,7076,8
2400,14751,10
2401,19727,8
2402,17771,8
2405,21075,8
2406,14020,8
770,1239,8
2409,8939,10
2410,1831,8
2411,3780,10
2412,17174,8
2413,17537,8
2414,19423,8
2415,7228,8
2416,11312,8
2417,20396,8
2418,9862,8
2419,4928,10
805,21379,10
997,22141,10
2421,4630,8
2425,10047,8
2429,77,8
2430,18931,8
2431,10690,8
962,5297,10
2432,14309,8
1509,18650,10
2433,7237,10
2435,22514,8
2438,19030,10
913,18805,8
2439,6034,8
854,9191,8
2440,18950,8
2441,20517,8
2443,10616,10
2444,18481,8
2445,20745,8
2447,18534,8
2448,18769,8
2451,4447,10
2454,20280,8
2455,8304,8
2456,3618,10
2457,6481,8
2459,1691,10
2460,2187,8
2462,1024,10
2463,756,8
2465,16887,8
2466,18045,8
2469,15390,8
2471,17632,8
2473,12970,8
2474,16962,8
1902,9663,10
2476,3760,8
2478,11395,8
2480,17745,8
2482,8734,8
2483,2900,8
2484,14152,10
2485,17975,8
2488,21255,8
2492,1198,8
2494,16421,10
669,5487,10
2497,7798,8
2498,6440,8
2501,21587,8
2502,22620,8
2504,20199,8
2506,6325,8
2507,14781,8
2509,20684,8
2512,11446,8
2515,6940,10
1653,22000,10
2518,8887,8
2519,19281,8
2520,1442,10
2523,11375,8
2525,1795,8
2528,15565,10
2529,2956,8
1751,3530,10
2540,7437,8
2544,8097,8
1783,17196,8
2549,12154,8
2554,14838,8
2555,19252,8
2557,15176,8
2558,19288,8
2563,11072,8
2564,12811,10
2567,20750,8
2568,21490,8
107,9340,8
2571,14141,8
1754,9174,10
2574,3762,8
2576,12185,8
1780,18094,8
2581,21963,8
2583,12924,8
2586,10640,10
2587,8450,10
2588,1349,8
2591,9202,8
2592,14851,8
2596,1814,8
1902,22336,10
2598,645,10
2599,1612,10
952,22331,8
2604,2661,10
1753,21874,4
2192,13569,4
2606,3395,4
1779,4834,4
2607,13444,4
2608,22688,2
651,9627,4
2609,3625,4
2610,14521,4
22,9219,4
2613,14576,4
2615,6897,4
2617,1686,4
2618,5356,4
2619,17013,4
2622,4608,4
2623,12081,2
2626,9292,2
2627,3835,2
2629,13222,2
2630,5241,4
2631,13768,4
2632,14256,4
296,944,4
2635,18952,4
2636,6336,4
1008,2687,4
2638,11509,4
2639,21799,4
2640,554,2
2646,2930,4
2647,12652,4
2648,8522,4
462,21164,2
2650,16213,4
2651,8302,4
2653,21320,4
2654,8770,4
2658,9716,4
2659,13519,4
2469,15231,4
2661,12881,2
2662,47,4
1735,15382,4
2671,20075,2
2673,15188,4
2678,22279,4
2680,1433,4
2681,1476,4
2682,20623,4
1703,7841,4
2685,13001,4
2686,14856,4
2690,1098,4
2691,6897,4
2692,6579,4
2695,22707,2
2698,3644,2
2699,5339,2
2701,5377,2
2703,8765,4
2704,18945,4
2706,10063,2
2708,6957,4
